record.timestamp[s],record.distance[m],record.accumulated_power[watts],record.speed[m/s],record.power[watts],record.heart_rate[bpm],record.cadence[rpm],record.resistance,record.temperature[C],record.left_right_balance,record.left_torque_effectiveness[percent],record.right_torque_effectiveness[percent],record.left_pedal_smoothness[percent],record.right_pedal_smoothness[percent],record.fractional_cadence[rpm],record.left_pco[mm],record.right_pco[mm],record.left_power_phase[degrees],record.left_power_phase_peak[degrees],record.right_power_phase[degrees],record.right_power_phase_peak[degrees],record.enhanced_speed[m/s],record.enhanced_respiration_rate[Breaths/min],
"1070727576","619.61","11121","8.22","126","105","90","0","19","186","62.5","69.0","21.0","20.5","0.0","0","0","340.3125053173829|192.65625301025395","75.93750118652346|137.81250215332034","330.4687551635743|196.87500307617194","60.46875094482424|119.5312518676758","8.22","24.52",
"1070727577","627.66","11249","8.052","128","107","88","0","19","181","67.0","69.0","20.5","20.5","0.0","0","0","341.71875533935554|192.65625301025395","78.75000123046877|140.62500219726567","333.2812552075196|195.46875305419925","60.46875094482424|120.93750188964847","8.052","24.52",
"1070727578","635.59","11378","7.94","129","107","87","0","19","184","65.5","68.5","20.0","20.0","0.0","0","0","344.53125538330085|192.65625301025395","80.15625125244142|140.62500219726567","337.5000052734376|198.2812530981446","61.87500096679689|120.93750188964847","7.94","24.52",
"1070727579","643.47","11524","7.894","146","108","87","0","19","182","74.5","68.5","22.5","20.0","0.0","0","0","341.71875533935554|195.46875305419925","80.15625125244142|139.218752175293","338.90625529541023|201.0937531420899","64.68750101074221|122.34375191162113","7.894","24.52",
"1070727580","651.46","11687","7.987","163","108","88","0","19","181","82.5","73.0","25.0","21.0","0.0","0","0","338.90625529541023|198.2812530981446","81.56250127441409|140.62500219726567","338.90625529541023|201.0937531420899","64.68750101074221|122.34375191162113","7.987","24.22",
"1070727581","659.54","11836","8.08","149","108","89","0","19","179","72.5","79.0","23.5","23.0","0.0","0","0","338.90625529541023|198.2812530981446","81.56250127441409|140.62500219726567","334.6875052294923|203.9062531860352","64.68750101074221|123.75000193359378","8.08","24.22",
"1070727582","667.63","11978","8.09","142","107","89","0","19","179","72.5","79.0","23.5","23.0","0.0","0","0","337.5000052734376|199.68750312011724","80.15625125244142|140.62500219726567","331.87500518554697|203.9062531860352","64.68750101074221|123.75000193359378","8.09","24.22",
"1070727583","675.68","12116","8.052","138","106","89","0","19","181","72.5","79.0","23.5","23.0","0.0","0","0","337.5000052734376|199.68750312011724","80.15625125244142|143.43750224121098","331.87500518554697|201.0937531420899","59.06250092285158|120.93750188964847","8.052","24.22",
"1070727584","683.73","12261","8.043","145","106","88","0","19","185","68.0","70.0","20.0","21.0","0.0","0","0","340.3125053173829|199.68750312011724","81.56250127441409|142.03125221923833","333.2812552075196|201.0937531420899","57.65625090087892|119.5312518676758","8.043","24.22",
"1070727585","691.77","12405","8.043","144","106","88","0","19","180","72.0","74.0","22.0","23.0","0.0","0","0","341.71875533935554|199.68750312011724","77.34375120849612|137.81250215332034","333.2812552075196|201.0937531420899","57.65625090087892|119.5312518676758","8.043","25.2",
"1070727586","699.83","12554","8.062","149","106","89","0","19","182","72.5","69.5","22.0","21.0","0.0","0","0","341.71875533935554|199.68750312011724","77.34375120849612|137.81250215332034","333.2812552075196|201.0937531420899","57.65625090087892|119.5312518676758","8.062","25.2",
"1070727587","707.91","12703","8.08","149","106","89","0","19","181","71.0","73.0","21.5","21.5","0.0","0","0","340.3125053173829|199.68750312011724","78.75000123046877|139.218752175293","333.2812552075196|201.0937531420899","57.65625090087892|119.5312518676758","8.08","25.2",
"1070727588","715.99","12846","8.071","143","106","89","0","19","183","66.5","68.5","20.5","20.5","0.0","0","0","338.90625529541023|196.87500307617194","80.15625125244142|142.03125221923833","336.0937552514649|201.0937531420899","67.50000105468752|126.5625019775391","8.071","25.2",
"1070727589","724.05","12990","8.062","144","106","89","0","19","183","75.0","68.5","23.5","20.5","0.0","0","0","337.5000052734376|196.87500307617194","82.96875129638674|146.25000228515628","336.0937552514649|199.68750312011724","66.09375103271486|126.5625019775391","8.062","25.2",
"1070727590","732.13","13172","8.09","182","106","90","0","19","179","75.0","68.5","23.5","20.5","0.0","0","0","336.0937552514649|195.46875305419925","81.56250127441409|146.25000228515628","336.0937552514649|199.68750312011724","66.09375103271486|126.5625019775391","8.09","23.89",
"1070727591","740.35","13303","8.22","131","105","91","0","19","206","41.5","70.5","12.0","22.0","0.0","0","0","343.1250053613282|191.2500029882813","75.93750118652346|137.81250215332034","338.90625529541023|199.68750312011724","66.09375103271486|126.5625019775391","8.22","23.89",
"1070727592","748.63","13455","8.276","152","106","91","0","19","183","60.0","77.0","18.0","23.0","0.0","0","0","345.9375054052735|194.0625030322266","71.71875112060549|133.59375208740238","338.90625529541023|199.68750312011724","66.09375103271486|126.5625019775391","8.276","23.89",
"1070727593","756.86","13603","8.23","148","106","90","0","19","186","59.0","63.0","18.0","19.0","0.0","0","0","345.9375054052735|194.0625030322266","71.71875112060549|133.59375208740238","338.90625529541023|199.68750312011724","66.09375103271486|126.5625019775391","8.23","23.89",
"1070727594","765.04","13603","8.183","144","106","90","0","19","181","66.0","63.0","20.0","19.0","0.0","0","0","344.53125538330085|195.46875305419925","73.12500114257814|133.59375208740238","338.90625529541023|199.68750312011724","66.09375103271486|126.5625019775391","8.183","23.89",
"1070727595","773.19","13891","8.146","144","107","90","0","19","181","65.0","63.0","19.5","19.0","0.0","0","0","343.1250053613282|195.46875305419925","71.71875112060549|132.18750206542973","338.90625529541023|195.46875305419925","63.28125098876955|123.75000193359378","8.146","23.8",
"1070727596","781.3","14036","8.108","145","107","89","0","19","181","66.5","64.5","20.0","18.5","0.0","0","0","343.1250053613282|195.46875305419925","71.71875112060549|132.18750206542973","338.90625529541023|195.46875305419925","66.09375103271486|125.15625195556643","8.108","23.8",
"1070727597","789.39","14184","8.08","148","108","89","0","19","180","66.5","64.5","20.0","18.5","0.0","0","0","343.1250053613282|195.46875305419925","73.12500114257814|132.18750206542973","338.90625529541023|195.46875305419925","66.09375103271486|125.15625195556643","8.08","23.8",
"1070727598","797.47","14335","8.09","151","108","89","0","19","179","68.0","65.5","21.5","19.0","0.0","0","0","341.71875533935554|195.46875305419925","73.12500114257814|133.59375208740238","338.90625529541023|195.46875305419925","66.09375103271486|125.15625195556643","8.09","23.8",
"1070727599","805.59","14481","8.127","146","108","89","0","19","180","67.0","67.0","20.0","19.0","0.0","0","0","341.71875533935554|195.46875305419925","73.12500114257814|135.00000210937503","338.90625529541023|196.87500307617194","66.09375103271486|125.15625195556643","8.127","23.8",
"1070727600","813.72","14634","8.127","153","108","90","0","19","179","68.5","70.0","21.5","20.0","0.0","0","0","341.71875533935554|196.87500307617194","73.12500114257814|135.00000210937503","338.90625529541023|196.87500307617194","66.09375103271486|125.15625195556643","8.127","23.74",
"1070727601","821.88","14782","8.155","148","108","90","0","19","182","63.5","73.0","20.0","20.5","0.0","0","0","341.71875533935554|196.87500307617194","73.12500114257814|135.00000210937503","336.0937552514649|196.87500307617194","64.68750101074221|123.75000193359378","8.155","23.74",
